horse_no,date,work_type,racecourse,track,venue,distance,time,time_sec,splits,partner,rider,placing,comment,gear,workout_details
E471,12/02/2023,游水,從化,,從化,,,,,,,,游水,,
E471,12/02/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,11/02/2023,快操,從化,全天候,從化 全天候,,56.3,56.3,30.0 26.3,,助手,,快操,H,30.0 26.3 (56.3) (助手)
E471,11/02/2023,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
E471,10/02/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,09/02/2023,游水,從化,,從化,,,,,,,,游水,,
E471,09/02/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快兩圈,H,內圈 倒快兩圈 (助手)
E471,08/02/2023,游水,從化,,從化,,,,,,,,游水,,
E471,08/02/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,07/02/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,06/02/2023,踱步,從化,內圈,從化 內圈,,,,,,副練馬師,,倒快兩圈,H,內圈 倒快兩圈 (副練馬師)
E471,05/02/2023,游水,從化,,從化,,,,,,,,游水,,
E471,05/02/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,04/02/2023,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,,飛機場 踱步 (助手)
E471,01/02/2023,游水,沙田,,沙田,,,,,,,,游水,,
E471,01/02/2023,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,31/01/2023,游水,沙田,,沙田,,,,,,,,游水,,
E471,31/01/2023,踱步,沙田,內圈,沙田 內圈,,,,,,副練馬師,,快踱一圈,H,內圈 快踱一圈 (副練馬師)
E471,30/01/2023,游水,沙田,,沙田,,,,,,,,游水,,
E471,30/01/2023,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快一圈,H,內圈 倒快一圈 (助手)
E471,29/01/2023,游水,沙田,,沙田,,,,,,,,游水,,
E471,29/01/2023,快操,沙田,全天候,沙田 全天候,,55.1,55.1,31.3 23.8,,助手,,有鴻利,H,31.3 23.8 (55.1) (助手) 有鴻利
E471,29/01/2023,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
E471,28/01/2023,游水,沙田,,沙田,,,,,,,,游水,,
E471,28/01/2023,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,27/01/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
