trial_date,group_no,trial_venue,distance_m,going,group_time,group_sectional_times
02/12/2025,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
02/12/2025,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
01/12/2025,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
01/12/2025,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
01/12/2025,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
01/12/2025,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
28/11/2025,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
28/11/2025,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
28/11/2025,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
28/11/2025,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
27/11/2025,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
27/11/2025,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
27/11/2025,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
27/11/2025,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
25/11/2025,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
25/11/2025,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
25/11/2025,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
25/11/2025,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
21/11/2025,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
21/11/2025,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
21/11/2025,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
21/11/2025,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
20/11/2025,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
20/11/2025,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
20/11/2025,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
20/11/2025,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
18/11/2025,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
18/11/2025,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
18/11/2025,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
18/11/2025,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
17/11/2025,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
17/11/2025,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
17/11/2025,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
17/11/2025,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
14/11/2025,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
14/11/2025,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
14/11/2025,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
14/11/2025,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
13/11/2025,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
13/11/2025,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
13/11/2025,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
13/11/2025,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
11/11/2025,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
11/11/2025,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
11/11/2025,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
11/11/2025,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
07/11/2025,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
07/11/2025,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
07/11/2025,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
07/11/2025,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
06/11/2025,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
06/11/2025,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
06/11/2025,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
06/11/2025,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
04/11/2025,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
04/11/2025,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
04/11/2025,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
04/11/2025,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
31/10/2025,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
31/10/2025,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
31/10/2025,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
31/10/2025,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
